name	rarity	life	vocal	dance	visual
本田未央	R
高森藍子	N
龍崎薫	N
木村夏樹	N
赤城みりあ	N
大槻唯	N
姫川友紀	N
堀裕子	N
城ヶ崎美嘉	R
城ヶ崎莉嘉	R
日野茜	R
諸星きらり	R
十時愛梨	R
[スイートバレンタイン]十時愛梨	SR
[しっぽもふもふ]赤城みりあ	SR
[カリスマギャル]城ヶ崎美嘉	SR
[カリスマちびギャル]城ヶ崎莉嘉	SR
[全力チアガール]姫川友紀	SR
星輝子	N
及川雫	N
片桐早苗	N
ナターリア	R
仙崎恵磨	R
若林智香	R
[ロッキングラヴァー]木村夏樹	SR
[サンフラワーイエロー]龍崎薫	SR
相葉夕美	N
[ゆるふわ乙女]高森藍子	SR
浜口あやめ	R
松山久美子	N
[絶叫★ヴァンパイア]星輝子	SR
[フレッシュチアガール]若林智香	SR
[癒しの満月]及川雫
メアリー・コクラン	R
[湯けむりサイキッカー]堀裕子	SR
矢口美羽	N
市原仁奈	R
[ムーンライトフラワー]相葉夕美	SR
向井拓海	R
[Orange Sapphire]城ヶ崎美嘉	SR
[Orange Sapphire]諸星きらり	SR
喜多日菜子	R
喜多見柚	N
[デンジャラスアダルティ]片桐早苗	SR
[Snow Wings]大槻唯	SR
[ともだちたくさん]市原仁奈	SSR
[ハート★オーバーフロー]城ヶ崎美嘉	SSR
[南国の舞姫]松山久美子	SR
村上巴	R
[ゴキゲンParty Night]本田未央	SR
依田由乃	N
[フード☆メイド]喜多見柚	SR
難波笑美	R
[オトメのお勉強]メアリー・コクラン	SR
[ハッピーホイップ]赤城みりあ	SSR
小関麗奈	R
